Date,Open,High,Low,Close,Volume,Obv,Rsi
2019-05-11,6967.31,7343.99,6372.85,7076.22,86948.975339,-4194993.708657997,37.71842452185383
2019-05-10,7076.22,6468.92,6172.0,6373.33,74022.424393,-4269016.133050997,31.989579442163844
2019-05-09,6373.33,6224.55,5983.71,6209.18,36623.61079,-4305639.743840997,30.812570741005814
2019-05-08,6209.18,6014.72,5772.2,5987.29,27453.011436,-4333092.755276997,29.24610567446254
2019-05-07,5987.29,6028.41,5747.74,5846.34,23074.05152,-4356166.806796997,28.263168715804454
2019-05-06,5846.34,5805.0,5619.14,5747.79,39905.064422,-4396071.871218997,27.565577587743917
2019-05-05,5747.79,5839.9,5696.0,5775.62,25256.596325,-4370815.274893997,28.10523559280668
2019-05-04,5775.62,5900.0,5587.45,5829.45,23822.543775,-4346992.731118998,29.203934272930027
2019-05-03,5829.45,5844.0,5477.57,5772.69,39682.408991,-4386675.140109997,28.705791815251374
2019-05-02,5772.69,5538.0,5370.0,5492.87,46297.172849,-4432972.312958998,26.322081503844558
2019-05-01,5492.87,5402.0,5316.2,5383.2,22795.787835,-4455768.100793998,25.430754698244613
2019-04-30,5383.2,5339.98,5192.15,5320.81,17217.473216,-4472985.574009998,24.913897887192917
2019-04-29,5320.81,5332.0,5178.8,5238.14,22238.06823,-4495223.642239998,24.211708805535437
2019-04-28,5238.14,5340.0,5259.48,5307.52,19918.135079,-4475305.507160998,26.09432259530891
2019-04-27,5307.52,5342.5,5257.67,5295.69,14371.433869,-4489676.941029998,25.975837475716617
2019-04-26,5295.69,5510.0,5161.62,5314.1,15422.896935,-4474254.044094997,26.534890040614485
2019-04-25,5314.1,5491.84,5102.0,5219.9,48912.294513,-4523166.338607998,25.474732113434698
2019-04-24,5219.9,5582.2,5333.35,5415.0,49636.089948,-4473530.248659997,31.572552950857173
2019-04-23,5415.0,5600.0,5332.41,5493.31,48224.152413,-4425306.096246997,33.9100505415809
2019-04-22,5493.31,5400.0,5208.35,5357.14,41262.103917,-4466568.200163997,31.87127608421676
2019-04-21,5357.14,5314.35,5165.0,5256.14,29563.852309,-4496132.0524729965,30.41080397269019
2019-04-20,5256.14,5333.42,5230.1,5291.73,25549.570939,-4470582.481533997,31.600236237958924
2019-04-19,5291.73,5320.0,5175.0,5258.68,19168.908274,-4489751.389807996,31.06916156673698
2019-04-18,5258.68,5287.0,5198.8,5258.44,24611.236323,-4514362.626130996,31.06507872844351
2019-04-17,5258.44,5230.4,5146.8,5202.82,22619.239001,-4536981.865131997,30.078584680719686
2019-04-16,5202.82,5197.72,5003.94,5173.72,23307.536134,-4560289.4012659965,29.549866527401647
2019-04-15,5173.72,5167.38,4950.0,5024.95,24242.229493,-4584531.630758996,26.942446968300132
2019-04-14,5024.95,5152.99,5000.0,5131.3,29057.191581,-4555474.4391779965,31.58957360457856
2019-04-13,5131.3,5099.0,5004.0,5045.22,18281.607739,-4573756.046916996,29.930075918201652
2019-04-12,5045.22,5080.58,4861.22,5048.01,17292.456802,-4556463.590114996,30.058325377326412
2019-04-11,5048.01,5332.67,4927.0,5017.37,33276.678614,-4589740.268728996,29.421446052313414
2019-04-10,5017.37,5422.0,5135.0,5308.25,54696.600686,-4535043.668042996,41.98809017749685
2019-04-09,5308.25,5238.4,5076.68,5150.0,40073.620471,-4575117.288513996,38.021723174287764
2019-04-08,5150.0,5305.0,5039.0,5236.9,34067.012311,-4541050.276202995,41.300857971421244
2019-04-07,5236.9,5234.0,5026.0,5170.27,50178.430782,-4591228.706984995,39.57206416807706
2019-04-06,5170.27,5205.0,4928.59,5043.89,37615.486804,-4628844.193788995,36.45507468470507
2019-04-05,5043.89,5028.22,4880.62,5004.95,41770.842313,-4670615.036101995,35.52653230427815
2019-04-04,5004.95,5039.08,4777.0,4898.66,39768.552806,-4710383.588907995,33.051843629041755
2019-04-03,4898.66,5275.01,4753.5,4932.6,61054.254168,-4649329.334739995,34.61798220179655
2019-04-02,4932.6,4897.99,4140.54,4857.29,109890.125743,-4759219.460482995,32.78526380338488
2019-04-01,4857.29,4158.7,4067.0,4144.56,105383.639263,-4864603.099745995,21.295022181696197
2019-03-31,4144.56,4116.12,4082.57,4103.95,25507.067641,-4890110.167386996,20.846709901573803
2019-03-30,4103.95,4140.0,4052.0,4106.97,13525.087433,-4876585.079953996,20.979938830591536
2019-03-29,4106.97,4123.71,4024.03,4103.25,19509.292601,-4896094.372554995,20.93319913813417
2019-03-28,4103.25,4039.7,4002.0,4027.81,30084.217444,-4926178.589998995,19.96195560223694
2019-03-27,4027.81,4048.0,3936.15,4038.05,20089.293875,-4906089.2961239945,20.501138866837508
2019-03-26,4038.05,3958.98,3894.0,3948.55,32364.555852,-4938453.851975994,19.278704518893548
2019-03-25,3948.55,3999.3,3888.71,3936.12,29349.537627,-4967803.389602995,19.108291725072107
2019-03-24,3936.12,4006.02,3950.0,3992.18,33192.890217,-4934610.499385995,22.43824856827335
2019-03-23,3992.18,4018.83,3978.01,4006.01,17179.850648,-4917430.648737995,23.277345223819026
2019-03-22,4006.01,4008.0,3968.25,3986.93,17302.604318,-4934733.253055995,22.909119892660144
